state,month,year,tax type,value,fips state,numeric month,note,id
Arizona,July,2021,motor fuel,68606095,4,7,,4_2021_7
Arizona,June,2019,motor fuel,67228043,4,6,,4_2019_6
Arizona,June,2020,motor fuel,56205864,4,6,,4_2020_6
Arizona,June,2021,motor fuel,72132232,4,6,,4_2021_6
Arizona,March,2020,motor fuel,63069232,4,3,,4_2020_3
Arizona,March,2021,motor fuel,58759492,4,3,,4_2021_3
Arizona,March,2022,motor fuel,63958280,4,3,,4_2022_3
Arizona,May,2019,motor fuel,60501721,4,5,,4_2019_5
Arizona,May,2020,motor fuel,42603815,4,5,,4_2020_5
Arizona,May,2021,motor fuel,65366771,4,5,,4_2021_5
Arizona,November,2019,motor fuel,64375731,4,11,,4_2019_11
Arizona,November,2020,motor fuel,63324167,4,11,,4_2020_11
Arizona,November,2021,motor fuel,64658238,4,11,,4_2021_11
Arizona,October,2019,motor fuel,64776745,4,10,,4_2019_10
Arizona,October,2020,motor fuel,62652923,4,10,,4_2020_10
Arizona,October,2021,motor fuel,66941031,4,10,,4_2021_10
Arizona,September,2019,motor fuel,68722037,4,9,,4_2019_9
Arizona,September,2020,motor fuel,64034111,4,9,,4_2020_9
Arizona,September,2021,motor fuel,65460528,4,9,,4_2021_9
Arkansas,April,2019,motor fuel,40116042,5,4,,5_2019_4
Arkansas,April,2020,motor fuel,44652838,5,4,,5_2020_4
Arkansas,April,2021,motor fuel,49320713,5,4,,5_2021_4
Arkansas,April,2022,motor fuel,48306716,5,4,,5_2022_4
Arkansas,August,2019,motor fuel,42437635,5,8,,5_2019_8
Arkansas,August,2020,motor fuel,46880472,5,8,,5_2020_8
Arkansas,August,2021,motor fuel,49959678,5,8,,5_2021_8
Arkansas,December,2019,motor fuel,38969365,5,12,,5_2019_12
Arkansas,December,2020,motor fuel,47091981,5,12,,5_2020_12
Arkansas,December,2021,motor fuel,50606669,5,12,,5_2021_12
Arkansas,February,2020,motor fuel,44722866,5,2,,5_2020_2
Arkansas,February,2021,motor fuel,42175287,5,2,,5_2021_2
Arkansas,February,2022,motor fuel,43564471,5,2,,5_2022_2
Arkansas,January,2020,motor fuel,45180655,5,1,,5_2020_1
Arkansas,January,2021,motor fuel,46087917,5,1,,5_2021_1
Arkansas,January,2022,motor fuel,46157226,5,1,,5_2022_1
Arkansas,July,2019,motor fuel,40024844,5,7,,5_2019_7
Arkansas,July,2020,motor fuel,45767052,5,7,,5_2020_7
Arkansas,July,2021,motor fuel,47893679,5,7,,5_2021_7
Arkansas,June,2019,motor fuel,40638507,5,6,,5_2019_6
Arkansas,June,2020,motor fuel,40663634,5,6,,5_2020_6
Arkansas,June,2021,motor fuel,49556216,5,6,,5_2021_6
Arkansas,March,2020,motor fuel,42844347,5,3,,5_2020_3
Arkansas,March,2021,motor fuel,39690016,5,3,,5_2021_3
Arkansas,March,2022,motor fuel,43121326,5,3,,5_2022_3
Arkansas,May,2019,motor fuel,40127411,5,5,,5_2019_5
Arkansas,May,2020,motor fuel,37350997,5,5,,5_2020_5
Arkansas,May,2021,motor fuel,51079727,5,5,,5_2021_5
Arkansas,November,2019,motor fuel,44055652,5,11,,5_2019_11
Arkansas,November,2020,motor fuel,46173616,5,11,,5_2020_11
Arkansas,November,2021,motor fuel,47512678,5,11,,5_2021_11
Arkansas,October,2019,motor fuel,41512851,5,10,,5_2019_10
Arkansas,October,2020,motor fuel,46068329,5,10,,5_2020_10
Arkansas,October,2021,motor fuel,49205863,5,10,,5_2021_10
Arkansas,September,2019,motor fuel,40889534,5,9,,5_2019_9
Arkansas,September,2020,motor fuel,46665466,5,9,,5_2020_9
Arkansas,September,2021,motor fuel,49236373,5,9,,5_2021_9
California,April,2019,motor fuel,496996000,6,4,,6_2019_4
California,April,2020,motor fuel,548318000,6,4,,6_2020_4
California,April,2021,motor fuel,615441000,6,4,,6_2021_4
California,April,2022,motor fuel,684972000,6,4,,6_2022_4
California,August,2019,motor fuel,681565000,6,8,,6_2019_8
California,August,2020,motor fuel,615856000,6,8,,6_2020_8
California,August,2021,motor fuel,729539000,6,8,,6_2021_8
California,December,2019,motor fuel,757435000,6,12,,6_2019_12
California,December,2020,motor fuel,692180000,6,12,,6_2020_12
California,December,2021,motor fuel,752487000,6,12,,6_2021_12
California,February,2020,motor fuel,679586000,6,2,,6_2020_2
California,February,2021,motor fuel,600408000,6,2,,6_2021_2
California,February,2022,motor fuel,643496000,6,2,,6_2022_2
California,January,2020,motor fuel,667682000,6,1,,6_2020_1
California,January,2021,motor fuel,593481000,6,1,,6_2021_1
California,January,2022,motor fuel,679057000,6,1,,6_2022_1
California,July,2019,motor fuel,621765000,6,7,,6_2019_7
California,July,2020,motor fuel,620863000,6,7,,6_2020_7
California,July,2021,motor fuel,720253000,6,7,,6_2021_7
California,June,2019,motor fuel,729818000,6,6,,6_2019_6
California,June,2020,motor fuel,427800000,6,6,,6_2020_6
California,June,2021,motor fuel,731415000,6,6,,6_2021_6
California,March,2020,motor fuel,683085000,6,3,,6_2020_3
California,March,2021,motor fuel,599015000,6,3,,6_2021_3
California,March,2022,motor fuel,649500000,6,3,,6_2022_3
California,May,2019,motor fuel,633248000,6,5,,6_2019_5
California,May,2020,motor fuel,489838000,6,5,,6_2020_5
California,May,2021,motor fuel,716685000,6,5,,6_2021_5
California,November,2019,motor fuel,694096000,6,11,,6_2019_11
California,November,2020,motor fuel,642095000,6,11,,6_2020_11
California,November,2021,motor fuel,691949000,6,11,,6_2021_11
California,October,2019,motor fuel,740081000,6,10,,6_2019_10
California,October,2020,motor fuel,689449000,6,10,,6_2020_10
California,October,2021,motor fuel,718204000,6,10,,6_2021_10
California,September,2019,motor fuel,796672000,6,9,,6_2019_9
California,September,2020,motor fuel,700186000,6,9,,6_2020_9
California,September,2021,motor fuel,780371000,6,9,,6_2021_9
Colorado,April,2019,motor fuel,53089000,8,4,,8_2019_4
Colorado,April,2020,motor fuel,52261000,8,4,,8_2020_4
Colorado,April,2021,motor fuel,48716000,8,4,,8_2021_4
Colorado,April,2022,motor fuel,48987000,8,4,,8_2022_4
Colorado,August,2019,motor fuel,64185000,8,8,,8_2019_8
Colorado,August,2020,motor fuel,57705000,8,8,,8_2020_8
Colorado,August,2021,motor fuel,65969000,8,8,,8_2021_8
Colorado,December,2019,motor fuel,44076000,8,12,,8_2019_12
Colorado,December,2020,motor fuel,44916000,8,12,,8_2020_12
Colorado,December,2021,motor fuel,52585000,8,12,,8_2021_12
Colorado,February,2020,motor fuel,47960000,8,2,,8_2020_2
Colorado,February,2021,motor fuel,44695000,8,2,,8_2021_2
Colorado,February,2022,motor fuel,29885000,8,2,,8_2022_2
Colorado,January,2020,motor fuel,53722000,8,1,,8_2020_1
Colorado,January,2021,motor fuel,45373000,8,1,,8_2021_1
Colorado,January,2022,motor fuel,54258000,8,1,,8_2022_1
Colorado,July,2019,motor fuel,62930000,8,7,,8_2019_7
Colorado,July,2020,motor fuel,47880000,8,7,,8_2020_7
Colorado,July,2021,motor fuel,56149000,8,7,,8_2021_7
Colorado,June,2019,motor fuel,54263000,8,6,,8_2019_6
Colorado,June,2020,motor fuel,46889000,8,6,,8_2020_6
Colorado,June,2021,motor fuel,55503000,8,6,,8_2021_6
Colorado,March,2020,motor fuel,48857000,8,3,,8_2020_3
Colorado,March,2021,motor fuel,44445000,8,3,,8_2021_3
Colorado,March,2022,motor fuel,70967000,8,3,,8_2022_3
Colorado,May,2019,motor fuel,50264000,8,5,,8_2019_5
Colorado,May,2020,motor fuel,35254000,8,5,,8_2020_5
Colorado,May,2021,motor fuel,57552000,8,5,,8_2021_5
Colorado,November,2019,motor fuel,58398000,8,11,,8_2019_11
Colorado,November,2020,motor fuel,54696000,8,11,,8_2020_11
Colorado,November,2021,motor fuel,56294000,8,11,,8_2021_11
Colorado,October,2019,motor fuel,54793000,8,10,,8_2019_10
Colorado,October,2020,motor fuel,51989000,8,10,,8_2020_10
Colorado,October,2021,motor fuel,60323000,8,10,,8_2021_10
Colorado,September,2019,motor fuel,61110000,8,9,,8_2019_9
Colorado,September,2020,motor fuel,56182000,8,9,,8_2020_9
Colorado,September,2021,motor fuel,59757000,8,9,,8_2021_9
Connecticut,April,2019,motor fuel,41344084,9,4,,9_2019_4
Connecticut,April,2020,motor fuel,34966618,9,4,,9_2020_4
Connecticut,April,2021,motor fuel,38693559,9,4,,9_2021_4
Connecticut,April,2022,motor fuel,38995438,9,4,,9_2022_4
Connecticut,August,2019,motor fuel,43822076,9,8,,9_2019_8
Connecticut,August,2020,motor fuel,39157539,9,8,,9_2020_8
Connecticut,August,2021,motor fuel,40793390,9,8,,9_2021_8
Connecticut,December,2019,motor fuel,44405738,9,12,,9_2019_12
Connecticut,December,2020,motor fuel,38301042,9,12,,9_2020_12
Connecticut,December,2021,motor fuel,42174126,9,12,,9_2021_12
Connecticut,February,2020,motor fuel,38902966,9,2,,9_2020_2
Connecticut,February,2021,motor fuel,35108303,9,2,,9_2021_2
Connecticut,February,2022,motor fuel,34805324,9,2,,9_2022_2
Connecticut,January,2020,motor fuel,41031152,9,1,,9_2020_1
Connecticut,January,2021,motor fuel,37432756,9,1,,9_2021_1
Connecticut,January,2022,motor fuel,40179497,9,1,,9_2022_1
Connecticut,July,2019,motor fuel,41224880,9,7,,9_2019_7
Connecticut,July,2020,motor fuel,37118387,9,7,,9_2020_7
Connecticut,July,2021,motor fuel,41264126,9,7,,9_2021_7
Connecticut,June,2019,motor fuel,44529218,9,6,,9_2019_6
Connecticut,June,2020,motor fuel,35480797,9,6,,9_2020_6
Connecticut,June,2021,motor fuel,42886236,9,6,,9_2021_6
Connecticut,March,2020,motor fuel,39590917,9,3,,9_2020_3
Connecticut,March,2021,motor fuel,34307147,9,3,,9_2021_3
Connecticut,March,2022,motor fuel,35141068,9,3,,9_2022_3
Connecticut,May,2019,motor fuel,40637252,9,5,,9_2019_5
Connecticut,May,2020,motor fuel,25899227,9,5,,9_2020_5
