Year,Sex,Cohort,State,Drivers
2017,Male,22,Arizona,39537
2017,Male,22,Arkansas,20233
2017,Male,22,California,242041
2017,Male,22,Colorado,32010
2017,Male,22,Connecticut,19726
2017,Male,22,Delaware,5780
2017,Male,22,District of Columbia,1256
2017,Male,22,Florida,108037
2017,Male,22,Georgia,58426
2017,Male,22,Hawaii,6642
2017,Male,22,Idaho,10422
2017,Male,22,Illinois,68714
2017,Male,22,Indiana,38376
2017,Male,22,Iowa,18796
2017,Male,22,Kansas,17089
2017,Male,22,Kentucky,24004
2017,Male,22,Louisiana,24483
2017,Male,22,Maine,6489
2017,Male,22,Maryland,31701
2017,Male,22,Massachusetts,37550
2017,Male,22,Michigan,58864
2017,Male,22,Minnesota,24967
2017,Male,22,Mississippi,16217
2017,Male,22,Missouri,33544
2017,Male,22,Montana,5670
2017,Male,22,Nebraska,11993
2017,Male,22,Nevada,14480
2017,Male,22,New Hampshire,8502
2017,Male,22,New Jersey,52207
2017,Male,22,New Mexico,10977
2017,Male,22,New York,78748
2017,Male,22,North Carolina,59611
2017,Male,22,North Dakota,5153
2017,Male,22,Ohio,61934
2017,Male,22,Oklahoma,22058
2017,Male,22,Oregon,20544
2017,Male,22,Pennsylvania,68181
2017,Male,22,Rhode Island,5738
2017,Male,22,South Carolina,28298
2017,Male,22,South Dakota,4960
2017,Male,22,Tennessee,40941
2017,Male,22,Texas,149768
2017,Male,22,Utah,21004
2017,Male,22,Vermont,3726
2017,Male,22,Virginia,44533
2017,Male,22,Washington,44845
2017,Male,22,West Virginia,7015
2017,Male,22,Wisconsin,32382
2017,Male,22,Wyoming,3218
2017,Male,23,Alabama,33451
2017,Male,23,Alaska,4633
2017,Male,23,Arizona,41229
2017,Male,23,Arkansas,20397
2017,Male,23,California,250155
2017,Male,23,Colorado,34716
2017,Male,23,Connecticut,21013
2017,Male,23,Delaware,6168
2017,Male,23,District of Columbia,1885
2017,Male,23,Florida,111172
2017,Male,23,Georgia,58184
2017,Male,23,Hawaii,6706
2017,Male,23,Idaho,10691
2017,Male,23,Illinois,71003
2017,Male,23,Indiana,38805
2017,Male,23,Iowa,18347
2017,Male,23,Kansas,17627
2017,Male,23,Kentucky,25270
2017,Male,23,Louisiana,25227
2017,Male,23,Maine,6995
2017,Male,23,Maryland,33195
2017,Male,23,Massachusetts,40211
2017,Male,23,Michigan,61616
2017,Male,23,Minnesota,22224
2017,Male,23,Mississippi,16415
2017,Male,23,Missouri,34412
2017,Male,23,Montana,6122
2017,Male,23,Nebraska,12542
2017,Male,23,Nevada,15348
2017,Male,23,New Hampshire,9103
2017,Male,23,New Jersey,53311
2017,Male,23,New Mexico,11554
2017,Male,23,New York,83495
2017,Male,23,North Carolina,63519
2017,Male,23,North Dakota,5652
2017,Male,23,Ohio,63203
2017,Male,23,Oklahoma,21435
2017,Male,23,Oregon,21254
2017,Male,23,Pennsylvania,70729
2017,Male,23,Rhode Island,5994
2017,Male,23,South Carolina,29405
2017,Male,23,South Dakota,5133
2017,Male,23,Tennessee,43500
2017,Male,23,Texas,153555
2017,Male,23,Utah,21118
2017,Male,23,Vermont,3894
2017,Male,23,Virginia,46541
2017,Male,23,Washington,47578
2017,Male,23,West Virginia,6833
2017,Male,23,Wisconsin,34251
2017,Male,23,Wyoming,3393
2017,Male,24,Alabama,34469
2017,Male,24,Alaska,5140
2017,Male,24,Arizona,42701
2017,Male,24,Arkansas,20917
2017,Male,24,California,264636
2017,Male,24,Colorado,37591
2017,Male,24,Connecticut,20564
2017,Male,24,Delaware,6613
2017,Male,24,District of Columbia,2711
2017,Male,24,Florida,115245
2017,Male,24,Georgia,59785
2017,Male,24,Hawaii,7034
2017,Male,24,Idaho,10421
2017,Male,24,Illinois,72881
2017,Male,24,Indiana,39994
2017,Male,24,Iowa,18875
2017,Male,24,Kansas,18000
2017,Male,24,Kentucky,26196
2017,Male,24,Louisiana,26128
2017,Male,24,Maine,7389
2017,Male,24,Maryland,35367
2017,Male,24,Massachusetts,43365
2017,Male,24,Michigan,64033
2017,Male,24,Minnesota,21231
2017,Male,24,Mississippi,16895
2017,Male,24,Missouri,35147
2017,Male,24,Montana,6575
2017,Male,24,Nebraska,13415
2017,Male,24,Nevada,15662
2017,Male,24,New Hampshire,9653
2017,Male,24,New Jersey,56706
2017,Male,24,New Mexico,12577
2017,Male,24,New York,90142
2017,Male,24,North Carolina,66952
2017,Male,24,North Dakota,5857
2017,Male,24,Ohio,64836
2017,Male,24,Oklahoma,21493
2017,Male,24,Oregon,21708
2017,Male,24,Pennsylvania,70692
2017,Male,24,Rhode Island,6003
2017,Male,24,South Carolina,30192
2017,Male,24,South Dakota,5293
2017,Male,24,Tennessee,45773
2017,Male,24,Texas,150150
2017,Male,24,Utah,21193
2017,Male,24,Vermont,3992
2017,Male,24,Virginia,48309
2017,Male,24,Washington,51252
2017,Male,24,West Virginia,6035
2017,Male,24,Wisconsin,35636
2017,Male,24,Wyoming,3567
2017,Male,25-29,Alabama,172171
2017,Male,25-29,Alaska,28135
2017,Male,25-29,Arizona,229153
2017,Male,25-29,Arkansas,104097
2017,Male,25-29,California,1391519
2017,Male,25-29,Colorado,215230
2017,Male,25-29,Connecticut,112182
2017,Male,25-29,Delaware,34413
2017,Male,25-29,District of Columbia,27610
2017,Male,25-29,Florida,614462
2017,Male,25-29,Georgia,303342
2017,Male,25-29,Hawaii,37489
2017,Male,25-29,Idaho,51519
2017,Male,25-29,Illinois,372656
2017,Male,25-29,Indiana,201453
2017,Male,25-29,Iowa,94872
2017,Male,25-29,Kansas,88040
2017,Male,25-29,Kentucky,127517
2017,Male,25-29,Louisiana,138817
